Species Name,Breeding Lat,Migration Length,Taxonomy,Scientific Name,theta_2_5,theta_50,theta_97_5,Sig +,Sig -,Diurnal Migrant,Notes
Lazuli Bunting,43.13688,2131.8084,Cardinalidae,Passerina amoena,0.017839989,0.068968325,0.122910796,1,0,N,
Painted Bunting,31.49744,1482.60543,Cardinalidae,Passerina ciris,-0.040494181,0.006302774,0.053665857,0,0,N,
Rose-breasted Grosbeak,45.03529,3354.79563,Cardinalidae,Pheucticus ludovicianus,-0.255053049,-0.208895144,-0.163019814,0,1,N,"""Mainly nocturnal"""
Scarlet Tanager,41.21047,5332.57643,Cardinalidae,Piranga olivacea,-0.295222459,-0.248539977,-0.20082738,0,1,N,"""Generally mmigrates at night"""
Summer Tanager,33.62567,2538.86237,Cardinalidae,Piranga rubra,-0.132830893,-0.037636823,0.056737602,0,0,N,"""Generally nocturnal; departs usually at night, although a few may continue migration during day"""
Western Tanager,46.16615,3379.50369,Cardinalidae,Piranga ludoviciana,-0.036207009,-0.001864937,0.033207235,0,0,N,
Black-billed Cuckoo,45.2823,2133.1173,Cuculidae,Coccyzus erythropthalmus,-0.151348375,-0.062479106,0.025320426,0,0,N,
Bullock's Oriole,38.65455642,2214.792219,Icteridae,Icterus bullockii,-0.27398884,-0.119231561,0.037524793,0,0,N,"""Generally nocturnal; departs at night, but may continue after dawn"""
Hooded Oriole,27.0159,777.2154,Icteridae,Icterus cucullatus,-0.095614402,0.038753248,0.173386373,0,0,N,
Orchard Oriole,38.7403,2436.684,Icteridae,Icterus spurius,-0.160565352,-0.04718445,0.071209046,0,0,N,
Yellow-breasted Chat,35.10489,1930.541,Icteridae,Icteria virens,-0.129352587,-0.035811827,0.059765299,0,0,N,
Brown Thrasher,40.41567,847.33003,Mimidae,Toxostoma rufum,-0.100787516,-0.059043558,-0.015041746,0,1,N,
Blackpoll Warbler,57.38723,6768.269,Parulidae,Dendroica striata,-0.229542599,-0.173635925,-0.117202793,0,1,N,
Prairie Warbler,37.26487,1710.5825,Parulidae,Dendroica discolor,-0.060344222,0.001216853,0.06061356,0,0,N,
Blackburnian Warbler,46.28336,4727.93,Parulidae,Dendroica fusca,-0.136474544,-0.091323607,-0.046441967,0,1,N,"""Generally a nocturnal migrant, but occasionally some daytime movement"""
Magnolia Warbler,49.48191,3729.4673,Parulidae,Dendroica magnolia,-0.110999033,-0.078644366,-0.045868014,0,1,N,"""Generally nocturnal, but also undertake ""redetermination"" flights in which they attempt to correcet for displacement during night flight"""
Bay-breasted Warbler,49.05463,4686.09049,Parulidae,Dendroica castanea,-0.056455371,-0.011371763,0.034799771,0,0,N,
Black-and-white Warbler,46.60122,3120.673,Parulidae,Mniotilta varia,-0.017953606,0.013291413,0.04334038,0,0,N,
Black-throated Blue Warbler,44.72488,2754.735,Parulidae,Dendroica caerulescens,-0.078851485,-0.032517458,0.011927219,0,0,N,Tower kills
Black-throated Gray Warbler,41.42159,2320.828,Parulidae,Setophaga nigrescens,0.131092907,0.219960308,0.305450245,1,0,N,
Black-throated Green Warbler,45.58933,3481.505,Parulidae,Dendroica virens,-0.06969571,-0.032156233,0.006635964,0,0,N,"""Nocturnal migrant, only likely to be seen migrating during day over water"""
Blue-winged Warbler,41.95261,2907.299,Parulidae,Vermivora pinus,-0.112354495,-0.051552647,0.007467854,0,0,N,
Canada Warbler,47.00755,4980.775,Parulidae,Wilsonia canadensis,-0.086131974,-0.043729599,-0.001680561,0,1,N,
Cape May Warbler,49.32361,3277.341,Parulidae,Dendroica tigrina,-0.176863632,-0.13896919,-0.099754954,0,1,N,
Cerulean Warbler,39.64343,4008.195,Parulidae,Dendroica cerulea,-0.183164098,-0.002769147,0.180947703,0,0,N,
Chestnut-sided Warbler,46.37756,3761.949,Parulidae,Dendroica pensylvanica,-0.004328905,0.040064616,0.083202465,0,0,N,"""Nocturnal migrant; flight generally finished before dawn, although in trans-Gulf migration may continue in daylight"""
Connecticut Warbler,53.55428,3555.079,Parulidae,Oporornis agilis,-0.311500707,-0.213567513,-0.116048472,0,1,N,
Golden-winged Warbler,46.10937,3693.627,Parulidae,Vermivora chrysoptera,-0.096719762,0.00747028,0.111847686,0,0,N,Tower kills
Hooded Warbler,36.53581,2193.372,Parulidae,Wilsonia citrina,-0.387534131,-0.332798747,-0.279759877,0,1,N,
Kentucky Warbler,36.05926,2246.883,Parulidae,Oporornis formosus,-0.134643663,0.017811078,0.173077627,0,0,N,
Louisiana Waterthrush,38.36403,2332.001,Parulidae,Seiurus motacilla,-0.268404517,-0.182046065,-0.089486159,0,1,N,
Northern Parula,40.78602,2257.1407,Parulidae,Parula americana,-0.065559802,-0.021976792,0.020067391,0,0,N,
Ovenbird,46.95306,3112.7789,Parulidae,Seiurus aurocapilla,-0.115876629,-0.074507774,-0.03184234,0,1,N,
Pine Warbler,37.69511,726.8769,Parulidae,Dendroica pinus,-0.005377169,0.058085337,0.123137175,0,0,N,
Prothonotary Warbler,34.7433,3044.6636,Parulidae,Protonotaria citrea,-0.030342154,0.061340771,0.155082177,0,0,N,"""Primarily nocturnal migrant; diurnal observations mostly over water close to landfall"""
Tennessee Warbler,56.36221,4988.5763,Parulidae,Vermivora peregrina,-0.162635741,-0.125839572,-0.089180747,0,1,N,
Worm-eating Warbler,38.20416,2480.45743,Parulidae,Helmitheros vermivorum,-0.088067889,-0.005728617,0.07819784,0,0,N,
Yellow-throated Warbler,36.0779,1447.31864,Parulidae,Dendroica dominica,-0.177105245,-0.03903711,0.101939855,0,0,N,"""Generally nocturnal."""
Hermit Warbler,42.40681,3463.453,Parulidae,Dendroica occidentalis,0.154696572,0.233647934,0.305363762,1,0,N,
