DATE,Ap_w_NA,Amer_rel_Sunspot,Ap_3,SS_3,Ap_7,SS_7,Ap_21,SS_21,Ap_91,SS_91,Ap_343,SS_343
2000-02-01,8,70,18.333333333333332,63.666666666666664,17,68.85714285714286,12.80952380952381,103.28571428571429,12.428571428571429,107.02197802197803,12.720116618075801,100.7201166180758
2000-02-02,8,77,11,64.66666666666667,17.142857142857142,67,12.047619047619047,101.9047619047619,12.43956043956044,106.6923076923077,12.717201166180757,100.8134110787172
2000-02-03,10,89,8.666666666666666,70.33333333333333,17.142857142857142,67.57142857142857,11.952380952380953,99,12.472527472527473,106.62637362637362,12.714285714285714,100.92711370262391
2000-02-04,5,106,8.666666666666666,78.66666666666667,16.142857142857142,70,12,96.14285714285714,12.527472527472527,106.51648351648352,12.725947521865889,101.05539358600583
2000-02-05,12,100,7.666666666666667,90.66666666666667,12.285714285714286,76.14285714285714,11.857142857142858,94.0952380952381,12.527472527472527,106.49450549450549,12.737609329446064,101.23323615160349
2000-02-06,34,120,9,98.33333333333333,9.714285714285714,80.85714285714286,12.142857142857142,90.9047619047619,12.54945054945055,106.21978021978022,12.760932944606415,101.35568513119533
2000-02-07,31,125,17,108.66666666666667,12.428571428571429,89.42857142857143,13.476190476190476,90.04761904761905,12.582417582417582,105.82417582417582,12.810495626822158,101.49271137026238
2000-02-08,15,103,25.666666666666668,115,15.428571428571429,98.14285714285714,14.80952380952381,89.95238095238095,12.604395604395604,105.35164835164835,12.78134110787172,101.64139941690962
2000-02-09,11,107,26.666666666666668,116,16.428571428571427,102.85714285714286,15.380952380952381,88.71428571428571,12.461538461538462,104.37362637362638,12.760932944606415,101.65306122448979
2000-02-10,10,124,19,111.66666666666667,16.857142857142858,107.14285714285714,15.666666666666666,88.04761904761905,12.384615384615385,103.15384615384616,12.746355685131196,101.67055393586006
2000-02-11,17,123,12,111.33333333333333,16.857142857142858,112.14285714285714,15.666666666666666,88.80952380952381,12.208791208791208,102.17582417582418,12.68804664723032,101.73760932944606
2000-02-12,60,111,12.666666666666666,118,18.571428571428573,114.57142857142857,16.38095238095238,90.04761904761905,12.285714285714286,101.48351648351648,12.690962099125365,101.82798833819243
2000-02-13,14,119,29,119.33333333333333,25.428571428571427,116.14285714285714,18.19047619047619,90.52380952380952,12.472527472527473,100.73626373626374,12.82798833819242,101.96209912536443
2000-02-14,33,113,30.333333333333332,117.66666666666667,22.571428571428573,116,17.476190476190474,92.23809523809524,12.505494505494505,100.27472527472527,12.80466472303207,102.1807580174927
2000-02-15,17,112,35.666666666666664,114.33333333333333,22.857142857142858,114.28571428571429,18.428571428571427,93.76190476190476,12.813186813186814,99.7032967032967,12.86588921282799,102.36734693877551
2000-02-16,7,119,21.333333333333332,114.66666666666667,23.142857142857142,115.57142857142857,18.904761904761905,95.14285714285714,12.846153846153847,99.01098901098901,12.854227405247814,102.50145772594752
2000-02-17,6,110,19,114.66666666666667,22.571428571428573,117.28571428571429,18.857142857142858,97.33333333333333,12.791208791208792,98.37362637362638,12.775510204081632,102.66180758017492
2000-02-18,1,104,10,113.66666666666667,22,115.28571428571429,18.333333333333332,99.14285714285714,12.67032967032967,97.57142857142857,12.74927113702624,102.78717201166181
2000-02-19,3,89,4.666666666666667,111,19.714285714285715,112.57142857142857,16.857142857142858,101.0952380952381,12.54945054945055,96.74725274725274,12.720116618075801,102.87755102040816
2000-02-20,5,82,3.3333333333333335,101,11.571428571428571,109.42857142857143,15.571428571428571,102.14285714285714,12.483516483516484,95.86813186813187,12.71137026239067,102.89212827988338
2000-02-21,21,83,3,91.66666666666667,10.285714285714286,104.14285714285714,15.095238095238095,103.19047619047619,12.406593406593407,94.89010989010988,12.682215743440233,102.88046647230321
2000-02-22,6,102,9.666666666666666,84.66666666666667,8.571428571428571,99.85714285714286,15.619047619047619,104.0952380952381,12.516483516483516,94.31868131868131,12.70262390670554,102.89212827988338
2000-02-23,11,95,10.666666666666666,89,7,98.42857142857143,15.523809523809524,105.61904761904762,12.373626373626374,94.1978021978022,12.71137026239067,102.9067055393586
2000-02-24,30,127,12.666666666666666,93.33333333333333,7.571428571428571,95,15.666666666666666,106.47619047619048,12.263736263736265,94.12087912087912,12.728862973760933,102.89504373177843
2000-02-25,20,144,15.666666666666666,108,11,97.42857142857143,16.61904761904762,108.28571428571429,12.395604395604396,94.41758241758242,12.798833819241983,103
2000-02-26,16,164,20.333333333333332,122,13.714285714285714,103.14285714285714,17.333333333333332,110.0952380952381,12.571428571428571,94.9010989010989,12.839650145772595,103.15451895043732
2000-02-27,13,152,22,145,15.571428571428571,113.85714285714286,17.523809523809526,113.14285714285714,12.725274725274724,95.46153846153847,12.871720116618075,103.41107871720116
2000-02-28,16,152,16.333333333333332,153.33333333333334,16.714285714285715,123.85714285714286,16.523809523809526,114.66666666666667,12.780219780219781,95.94505494505495,12.895043731778426,103.62099125364432
2000-02-29,7,181,15,156,16,133.71428571428572,15.80952380952381,115.95238095238095,12.912087912087912,96.72527472527473,12.932944606413994,103.95626822157435
2000-03-01,21,145,12,161.66666666666666,16.142857142857142,145,15.428571428571429,119.66666666666667,12.87912087912088,97.64835164835165,12.935860058309038,104.39067055393586
2000-03-02,11,134,14.666666666666666,159.33333333333334,17.571428571428573,152.14285714285714,15.904761904761905,121.47619047619048,13.054945054945055,98.16483516483517,12.98542274052478,104.70553935860059
2000-03-03,5,119,13,153.33333333333334,14.857142857142858,153.14285714285714,15.952380952380953,121.95238095238095,13.12087912087912,98.76923076923077,12.994169096209912,104.99708454810495
2000-03-04,3,117,12.333333333333334,132.66666666666666,12.714285714285714,149.57142857142858,15.380952380952381,121.76190476190476,13,99.31868131868131,12.991253644314869,105.25947521865889
2000-03-05,6,133,6.333333333333333,123.33333333333333,10.857142857142858,142.85714285714286,12.666666666666666,122.04761904761905,12.703296703296703,99.93406593406593,12.988338192419825,105.52769679300292
2000-03-06,12,146,4.666666666666667,123,9.857142857142858,140.14285714285714,12.285714285714286,122.71428571428571,12.54945054945055,100.72527472527473,12.988338192419825,105.80758017492711
2000-03-07,16,157,7,132,9.285714285714286,139.28571428571428,11.285714285714286,124.28571428571429,12.483516483516484,101.57142857142857,12.941690962099125,106.07871720116619
2000-03-08,14,160,11.333333333333334,145.33333333333334,10.571428571428571,135.85714285714286,11.238095238095237,126.42857142857143,12.483516483516484,102.6043956043956,12.924198250728862,106.38483965014578
2000-03-09,4,146,14,154.33333333333334,9.571428571428571,138,11.571428571428571,128.38095238095238,12.483516483516484,103.42857142857143,12.921282798833818,106.70262390670554
2000-03-10,9,145,11.333333333333334,154.33333333333334,8.571428571428571,139.71428571428572,11.476190476190476,130.0952380952381,12.373626373626374,103.93406593406593,12.89795918367347,107.00291545189505
2000-03-11,13,141,9,150.33333333333334,9.142857142857142,143.42857142857142,11.857142857142858,132.04761904761904,12.362637362637363,104.27472527472527,12.895043731778426,107.30320699708454
2000-03-12,19,132,8.666666666666666,144,10.571428571428571,146.85714285714286,12.333333333333334,134.52380952380952,12.428571428571429,104.74725274725274,12.903790087463557,107.54227405247813
2000-03-13,4,117,13.666666666666666,139.33333333333334,12.428571428571429,146.71428571428572,13,136.9047619047619,12.516483516483516,105.08791208791209,12.918367346938776,107.7201166180758
2000-03-14,6,109,12,130,11.285714285714286,142.57142857142858,12.19047619047619,138.52380952380952,12.274725274725276,105.35164835164835,12.895043731778426,107.81632653061224
2000-03-15,2,112,9.666666666666666,119.33333333333333,9.857142857142858,135.71428571428572,12.19047619047619,138.85714285714286,12.307692307692308,105.53846153846153,12.88338192419825,107.87755102040816
2000-03-16,2,112,4,112.66666666666667,8.142857142857142,128.85714285714286,11.761904761904763,139.66666666666666,12.285714285714286,105.76923076923077,12.857142857142858,107.95918367346938
2000-03-17,4,95,3.3333333333333335,111,7.857142857142857,124,10.428571428571429,138.95238095238096,12.252747252747254,105.95604395604396,12.839650145772595,108.03498542274052
2000-03-18,6,129,2.6666666666666665,106.33333333333333,7.142857142857143,116.85714285714286,9.666666666666666,136.61904761904762,12.219780219780219,105.83516483516483,12.833819241982507,108.00291545189505
2000-03-19,7,155,4,112,6.142857142857143,115.14285714285714,9.19047619047619,134.95238095238096,12.219780219780219,106.10989010989012,12.80466472303207,108.11953352769679
2000-03-20,6,160,5.666666666666667,126.33333333333333,4.428571428571429,118.42857142857143,8.904761904761905,135.0952380952381,12.241758241758241,106.6923076923077,12.795918367346939,108.32361516034986
2000-03-21,4,151,6.333333333333333,148,4.714285714285714,124.57142857142857,8.428571428571429,135.47619047619048,12.274725274725276,107.34065934065934,12.790087463556851,108.54810495626822
2000-03-22,12,178,5.666666666666667,155.33333333333334,4.428571428571429,130.57142857142858,8.285714285714286,134.04761904761904,12.296703296703297,107.86813186813187,12.793002915451895,108.77259475218659
2000-03-23,14,205,7.333333333333333,163,5.857142857142857,140,7.857142857142857,135.61904761904762,12.417582417582418,108.73626373626374,12.807580174927114,109.07580174927114
2000-03-24,11,215,10,178,7.571428571428571,153.28571428571428,8,139,12.54945054945055,109.97802197802197,12.83673469387755,109.46938775510205
2000-03-25,8,184,12.333333333333334,199.33333333333334,8.571428571428571,170.42857142857142,8.285714285714286,143.57142857142858,12.54945054945055,111.3076923076923,12.816326530612244,109.89504373177843
2000-03-26,3,183,11,201.33333333333334,8.857142857142858,178.28571428571428,8.523809523809524,146.76190476190476,12.527472527472527,112.35164835164835,12.70262390670554,110.22157434402332
2000-03-27,4,171,7.333333333333333,194,8.285714285714286,182.28571428571428,8.380952380952381,149.14285714285714,12.538461538461538,113.41758241758242,12.693877551020408,110.60932944606414
2000-03-28,4,159,5,179.33333333333334,8,183.85714285714286,8,150.33333333333334,12.505494505494505,114.49450549450549,12.670553935860058,110.94752186588921
2000-03-29,10,151,3.6666666666666665,171,8,185,7.428571428571429,150.42857142857142,12.461538461538462,115.45054945054945,12.612244897959183,111.25655976676384
2000-03-30,12,173,6,160.33333333333334,7.714285714285714,181.14285714285714,7.238095238095238,150,12.483516483516484,116.3076923076923,12.606413994169095,111.5597667638484
2000-03-31,23,174,8.666666666666666,161,7.428571428571429,176.57142857142858,7.619047619047619,151.28571428571428,12.494505494505495,117.52747252747253,12.629737609329446,111.92711370262391
